Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Africa Eastern and Southern;AFE;Agricultural land (% of land area);AG.LND.AGRI.ZS;;43.67267864;43.64594771;43.6811243;43.65103151;43.62225066;43.64709566;43.65513134;43.68940597;43.74426177;43.82560251;43.95163145;43.99836958;44.00050149;44.01427694;44.04830557;44.06962472;44.07298659;44.162363;44.12808838;44.11693682;44.2072152;44.21049507;44.24558966;44.24526168;44.42221058;44.48485607;44.51330893;44.56070303;44.65098141;43.57026393;42.69926509;42.83910367;41.46971078;41.59208407;41.68707046;41.7979642;41.96002472;42.10699702;42.3440837;42.51680297;42.64234379;42.76429315;42.99738086;42.83393089;42.95943892;43.0774189;43.2027337;43.45888343;43.65218131;43.79919048;43.1717512;43.62191273;43.74768189;43.87793516;43.93715049;44.00568681;44.04262853;44.11797966;;
Africa Eastern and Southern;AFE;Agricultural land (sq. km);AG.LND.AGRI.K2;;5326150;5322890;5327180;5323510;5320000;5323030;5324010;5328190;5334880;5344800;5360170;5365870;5366130;5367810;5371960;5374560;5374970;5385870;5381690;5380330;5391340;5391740;5396020;5395980;5417560;5425200;5428670;5434450;5445460;5313659.9;5207436.27;5224490.44;5057484.61;5072408.78;5083992.95;5097517.12;5117281.39;5135205.56;5164119.73;5185183.9;5200494.37;5215366.84;5243793.31;5279228.58;5294720.25;5309259.72;5324692.99;5356256.56;5380079.83;5398501.8;6392500.5;6459157.24;6477782.4;6497055.3;6505845.2;6515953;6521411.4;6532568.32;;
Africa Eastern and Southern;AFE;Agricultural methane emissions (% of total);EN.ATM.METH.AG.ZS;;;;;;;;;;;59.70852191;64.02330435;63.36856889;63.11665797;63.20486223;62.10257337;62.82037087;62.24970985;61.26184497;59.66850196;61.14475998;60.97617578;60.73583807;60.29351386;61.08776467;60.14273255;60.14891712;58.14075936;59.35568932;59.28860622;70.23341598;69.54133977;69.37488901;68.65614284;68.35769811;68.43938226;67.87103;67.62543676;68.3834125;67.93612119;67.23038243;66.55253528;66.39376603;65.8994114;65.17091011;65.16466425;63.66988981;64.34843324;64.2641909;;;;;;;;;;;;
Africa Eastern and Southern;AFE;Agricultural methane emissions (thousand metric tons of CO2 equivalent);EN.ATM.METH.AG.KT.CE;;;;;;;;;;0;229726.5785;169710.8682;176286.3445;186922.3843;170592.1085;188412.0456;180105.8862;198791.4581;200867.5883;236453.3287;219569.9478;199858.1452;219540.9998;216770.6728;191446.6635;190758.4426;189333.4895;218741.0295;185828.9858;202551.562;232290;230460;234390;232250;235670;239750;239130;241930;256260;256520;254030;254630;269240;275420;277980;289090;283140;304130;315640;313810;325850;328760;333710;332070;332310;337680;343020;341240;343700;;
Africa Eastern and Southern;AFE;CO2 emissions (kt);EN.ATM.CO2E.KT;118545.9013;123758.9033;128093.8978;132810.3325;144345.3524;155803.7801;157932.2573;165066.0405;174004.8927;182939.9843;191243.3018;213550.9464;217837.9853;223290.2332;226298.37;231987.5087;240665.9833;246129.5118;250630.4364;268619.0944;280929.8942;308901.8061;329541.3846;344021.803;365909.7583;374516.7897;385101.671;388106.0476;404605.6778;401747.9479;309980.8254;304407.7236;300329.9719;306574.5771;312677.0287;330892.999;341412.3664;357963.1087;366634.4792;352429.2715;358460.6463;397075.6603;409057.1792;434533.1377;466883.2388;468365.6979;476590.2999;500147.1845;533634.5146;515682.5438;543808.6518;535604.3575;559333.8573;580510.925;601860.164;586385.004;592299.594;601323.3947;600351.1333;;
Africa Eastern and Southern;AFE;CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;0.906059557;0.922473917;0.930815894;0.940569529;0.996033447;1.047279743;1.033908319;1.052204052;1.079726652;1.104631605;1.123261243;1.219593048;1.209262779;1.204522542;1.186045209;1.181139367;1.190203366;1.182217743;1.169157603;1.216900549;1.235910896;1.319763789;1.367396551;1.386366901;1.431963637;1.423144569;1.4207769;1.390141636;1.407205363;1.357143612;1.017504843;0.971323798;0.931920141;0.925464632;0.918611814;0.946474948;0.951132322;0.971562628;0.969680078;0.908374394;0.90039915;0.971980787;0.975749135;1.009962896;1.057181535;1.032998428;1.023645551;1.045967785;1.086448849;1.021953566;1.048875556;1.00533811;1.021646329;1.031833091;1.041144792;0.987393167;0.971016455;0.959978017;0.933541201;;
Africa Eastern and Southern;AFE;Energy related methane emissions (% of total);EN.ATM.METH.EG.ZS;;;;;;;;;;;9.516870818;13.80691163;13.2346241;12.77288844;14.36900659;13.05600001;14.18106686;13.30859493;13.4455691;11.65650224;13.40092198;15.2715827;14.3253715;14.8388569;17.91360692;18.36281696;18.83728215;16.04405458;19.84131432;18.37317709;18.99377154;19.36028968;19.40744687;19.78834102;19.79057895;19.93948217;20.50350524;20.8777079;20.57693334;21.04398951;21.72555247;22.67119707;22.53156441;22.97458965;23.5476157;23.62328968;24.73577693;24.36578296;24.50932486;;;;;;;;;;;;
Africa Eastern and Southern;AFE;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;787.5350425;780.5364372;789.9315508;786.9288782;785.7922624;785.4310545;776.9036127;782.8026878;780.8923556;789.3843205;810.4668535;827.1870288;820.8754718;840.0919701;827.6259654;834.186776;837.8744062;844.1569301;810.5153685;788.2223282;789.6660921;743.4296098;749.9114463;750.6749256;760.2081283;757.074853;755.5890473;744.8620703;746.6611885;733.4215418;738.8224925;726.210303;739.6078351;756.9453596;748.0306638;742.2464095;755.7643599;780.1723698;766.243658;755.3710183;749.4021877;728.7212216;725.6681961;740.7663428;;;;;;
Africa Eastern and Southern;AFE;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;47.11599293;46.89181423;47.9771819;47.89745154;47.89864525;48.47409992;48.27521845;48.92808207;48.93011269;49.73754706;51.34257943;52.57811841;52.26371753;52.92614236;52.20159518;52.19017859;52.90092884;52.59569061;50.54489838;50.07072273;50.49355346;47.96650668;49.28068471;48.8116183;49.4445246;48.65646674;48.60843976;47.73347751;47.92847167;46.94725174;47.43574595;46.19521812;47.27177854;48.86205833;48.60696669;48.24439321;49.55117156;50.8885624;49.88287297;49.03532859;48.30386239;47.57241299;46.89518023;49.30429209;;;;;;
Africa Eastern and Southern;AFE;GDP (constant 2010 US$);NY.GDP.MKTP.KD;1.54E+11;1.56E+11;1.68E+11;1.77E+11;1.87E+11;1.98E+11;2.06E+11;2.17E+11;2.26E+11;2.38E+11;2.50E+11;2.62E+11;2.68E+11;2.80E+11;2.96E+11;3.01E+11;3.08E+11;3.10E+11;3.15E+11;3.25E+11;3.44E+11;3.58E+11;3.59E+11;3.58E+11;3.71E+11;3.70E+11;3.77E+11;3.91E+11;4.07E+11;4.18E+11;4.18E+11;4.18E+11;4.09E+11;4.06E+11;4.14E+11;4.32E+11;4.56E+11;4.71E+11;4.79E+11;4.92E+11;5.09E+11;5.26E+11;5.47E+11;5.65E+11;5.95E+11;6.33E+11;6.76E+11;7.24E+11;7.59E+11;7.67E+11;8.04E+11;8.37E+11;8.65E+11;9.03E+11;9.40E+11;9.66E+11;9.86E+11;1.01E+12;1.04E+12;1.06E+12;1.02E+12
